Donor,ISO3,Recipient,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2009 constant US$ 
Total",Ordinal,Percentage
AfDF,Global and Regional,Global and Regional,20.30,4.41,,,24.71,1,13.69%
AfDF,UGA,Uganda,16.36,,,,16.36,2,9.07%
AfDF,TZA,Tanzania,7.99,,,7.55,15.54,3,8.61%
AfDF,NGA,Nigeria,14.78,,,,14.78,4,8.19%
AfDF,BFA,Burkina Faso,10.82,0.58,,,11.40,5,6.31%
AfDF,CMR,Cameroon,5.46,,,4.91,10.37,6,5.74%
AfDF,MWI,Malawi,9.85,,,,9.85,7,5.46%
AfDF,MLI,Mali,8.91,0.83,,,9.74,8,5.40%
AfDF,All others,All others, 53.49 , 4.68 , 8.53 , 1.07 , 67.77 ,9,37.54%
AFESD,Global and Regional,Global and Regional,,0.86,0.00,,0.86,1,29.27%
AFESD,JOR,Jordan,,,0.64,,0.64,2,21.79%
AFESD,YEM,Yemen,,,0.48,,0.48,3,16.14%
AFESD,LBN,Lebanon,,,0.47,,0.47,4,15.80%
AFESD,MRT,Mauritania,,,0.42,,0.42,5,14.15%
AFESD,PSE,West Bank & Gaza Strip,0.08,,,,0.08,6,2.85%
AFESD,EGY,Egypt,,,0.00,,0.00,7,0.00%
AFESD,SDN,Sudan,,0.00,,,0.00,8,0.00%
AFESD,All others,All others,,, -   ,, -   ,9,0.00%
AsDB Special Funds,Global and Regional,Global and Regional,,1.57,,,1.57,1,0.71%
AsDB Special Funds,PAK,Pakistan,0.00,,149.55,0.00,149.55,2,67.32%
AsDB Special Funds,IDN,Indonesia,14.50,,14.15,,28.64,3,12.89%
AsDB Special Funds,VNM,Vietnam,7.58,5.00,5.26,,17.84,4,8.03%
AsDB Special Funds,LAO,Laos,10.27,-0.03,0.00,,10.24,5,4.61%
AsDB Special Funds,BGD,Bangladesh,2.28,,4.00,0.00,6.28,6,2.83%
AsDB Special Funds,MNG,Mongolia,3.52,,0.28,,3.80,7,1.71%
AsDB Special Funds,PNG,Papua New Guinea,0.00,3.57,0.00,,3.57,8,1.61%
AsDB Special Funds,All others,All others, -   , 0.64 , -   , -   , 0.64 ,9,0.29%
Australia,Global and Regional,Global and Regional,32.08,63.15,14.08,5.76,115.07,1,23.29%
Australia,PNG,Papua New Guinea,30.05,27.58,34.51,0.00,92.14,2,18.65%
Australia,IDN,Indonesia,6.45,23.21,8.08,11.56,49.30,3,9.98%
Australia,SLB,Solomon Islands,7.01,15.59,5.59,0.00,28.19,4,5.71%
