Donor,Year,Purpose,"Commitments, Million, constant 2009 US$"
AfDF,2000,HEALTH POLICY & ADMIN. MANAGEMENT,109.160065975
AfDF,2000,Other Health Purposes,19.067260432
AfDF,2001,HEALTH POLICY & ADMIN. MANAGEMENT,
AfDF,2001,MDG6,
AfDF,2001,Other Health Purposes,
AfDF,2002,HEALTH POLICY & ADMIN. MANAGEMENT,
AfDF,2002,MDG6,
AfDF,2002,Other Health Purposes,
AfDF,2003,HEALTH POLICY & ADMIN. MANAGEMENT,
AfDF,2003,MDG6,
AfDF,2003,Other Health Purposes,
AfDF,2004,HEALTH POLICY & ADMIN. MANAGEMENT,
AfDF,2004,MDG6,
AfDF,2004,Other Health Purposes,
AfDF,2005,HEALTH POLICY & ADMIN. MANAGEMENT,107.144273213
AfDF,2005,MDG6,116.351984182
AfDF,2005,Other Health Purposes,
AfDF,2006,HEALTH POLICY & ADMIN. MANAGEMENT,24.407904967
AfDF,2006,MDG6,
AfDF,2006,Other Health Purposes,32.543873286
AfDF,2006,RH & FP,65.087746572
AfDF,2007,HEALTH POLICY & ADMIN. MANAGEMENT,31.304104728
AfDF,2007,MDG6,
AfDF,2007,Other Health Purposes,
AfDF,2007,RH & FP,
AfDF,2008,HEALTH POLICY & ADMIN. MANAGEMENT,
AfDF,2008,MDG6,23.089899265
AfDF,2008,Other Health Purposes,
AfDF,2008,RH & FP,
AfDF,2009,HEALTH POLICY & ADMIN. MANAGEMENT,
AfDF,2009,MDG6,
AfDF,2009,Other Health Purposes,0.770842500
AfDF,2009,RH & FP,
AfDF,2010,HEALTH POLICY & ADMIN. MANAGEMENT,
AFESD,2008,HEALTH POLICY & ADMIN. MANAGEMENT,2.170916837
AFESD,2008,MDG6,
AFESD,2008,Other Health Purposes,1.031185498
AFESD,2009,HEALTH POLICY & ADMIN. MANAGEMENT,
AFESD,2009,MDG6,
AFESD,2009,Other Health Purposes,0.052192067
AFESD,2010,HEALTH POLICY & ADMIN. MANAGEMENT,
AFESD,2010,MDG6,1.037281904
AFESD,2010,Other Health Purposes,5.445391149
AsDB Special Funds,2000,HEALTH POLICY & ADMIN. MANAGEMENT,79.001380149
AsDB Special Funds,2000,Other Health Purposes,28.516994703
AsDB Special Funds,2001,HEALTH POLICY & ADMIN. MANAGEMENT,212.585767583
AsDB Special Funds,2003,HEALTH POLICY & ADMIN. MANAGEMENT,95.733190820
AsDB Special Funds,2004,HEALTH POLICY & ADMIN. MANAGEMENT,92.109198735
AsDB Special Funds,2005,HEALTH POLICY & ADMIN. MANAGEMENT,70.864582949
AsDB Special Funds,2007,Other Health Purposes,52.616001842
AsDB Special Funds,2008,HEALTH POLICY & ADMIN. MANAGEMENT,70.382999526
AsDB Special Funds,2010,HEALTH POLICY & ADMIN. MANAGEMENT,73.304712136
AsDB Special Funds,2010,MDG6,11.887250617
AsDB Special Funds,2010,Other Health Purposes,148.590632708
AsDB Special Funds,2010,RH & FP,
Australia,2000,HEALTH POLICY & ADMIN. MANAGEMENT,50.601954838
Australia,2000,MDG6,75.737432552
Australia,2000,Other Health Purposes,166.064194356
Australia,2000,RH & FP,6.010957342
Australia,2001,HEALTH POLICY & ADMIN. MANAGEMENT,44.171539072
Australia,2001,MDG6,59.864861758
Australia,2001,Other Health Purposes,89.447580386
Australia,2001,RH & FP,3.618605901
Australia,2002,HEALTH POLICY & ADMIN. MANAGEMENT,28.547979596
Australia,2002,MDG6,23.480889005
Australia,2002,Other Health Purposes,60.046367268
Australia,2002,RH & FP,15.007157723
Australia,2003,HEALTH POLICY & ADMIN. MANAGEMENT,17.281100035
Australia,2003,MDG6,48.026776647
Australia,2003,Other Health Purposes,114.992565589
Australia,2003,RH & FP,7.305002177
Australia,2004,HEALTH POLICY & ADMIN. MANAGEMENT,18.476569264
Australia,2004,MDG6,8.489646928
Australia,2004,Other Health Purposes,43.707090398
Australia,2004,RH & FP,2.405177438
Australia,2005,HEALTH POLICY & ADMIN. MANAGEMENT,58.514720256
Australia,2005,MDG6,54.976370314
Australia,2005,Other Health Purposes,49.390799580
Australia,2005,RH & FP,2.675449118
Australia,2006,HEALTH POLICY & ADMIN. MANAGEMENT,39.075633531
Australia,2006,MDG6,80.568647578
Australia,2006,Other Health Purposes,65.628268030
Australia,2006,RH & FP,0.269012815
Australia,2007,HEALTH POLICY & ADMIN. MANAGEMENT,54.278202011
Australia,2007,MDG6,76.759669521
Australia,2007,Other Health Purposes,24.130042207
Australia,2007,RH & FP,0.089722924
Australia,2008,HEALTH POLICY & ADMIN. MANAGEMENT,125.242840139
Australia,2008,MDG6,139.101934376
Australia,2008,Other Health Purposes,200.096644430
Australia,2008,RH & FP,4.539106824
Australia,2009,HEALTH POLICY & ADMIN. MANAGEMENT,73.558864187
Australia,2009,MDG6,38.814677834
Australia,2009,Other Health Purposes,118.357874172
Australia,2009,RH & FP,37.503076953
Australia,2010,HEALTH POLICY & ADMIN. MANAGEMENT,40.884012183
Australia,2010,MDG6,83.899010238
Australia,2010,Other Health Purposes,131.036850267
Australia,2010,RH & FP,11.686621551
Austria,2000,HEALTH POLICY & ADMIN. MANAGEMENT,1.441781908
Austria,2000,MDG6,0.906140139
Austria,2000,Other Health Purposes,4.442187228
Austria,2000,RH & FP,0.179883310
Austria,2001,HEALTH POLICY & ADMIN. MANAGEMENT,1.111260188
Austria,2001,MDG6,0.091676372
Austria,2001,Other Health Purposes,4.942500947
Austria,2001,RH & FP,0.058272504
Austria,2002,HEALTH POLICY & ADMIN. MANAGEMENT,0.484324809
Austria,2002,MDG6,1.538328342
Austria,2002,Other Health Purposes,11.293520984
Austria,2002,RH & FP,0.489343800
Austria,2003,HEALTH POLICY & ADMIN. MANAGEMENT,0.266062924
Austria,2003,MDG6,0.152397968
Austria,2003,Other Health Purposes,17.864303850
Austria,2003,RH & FP,1.203841045
Austria,2004,HEALTH POLICY & ADMIN. MANAGEMENT,0.158876982
Austria,2004,MDG6,1.506668765
Austria,2004,Other Health Purposes,27.195029737
Austria,2004,RH & FP,0.173345817
Austria,2005,HEALTH POLICY & ADMIN. MANAGEMENT,4.340419975
Austria,2005,MDG6,1.182958477
Austria,2005,Other Health Purposes,29.054568897
Austria,2005,RH & FP,1.071558152
Austria,2006,HEALTH POLICY & ADMIN. MANAGEMENT,0.900989490
Austria,2006,MDG6,5.464419664
Austria,2006,Other Health Purposes,18.241933820
Austria,2006,RH & FP,0.747541538
Austria,2007,HEALTH POLICY & ADMIN. MANAGEMENT,0.279153569
Austria,2007,MDG6,4.779456109
Austria,2007,Other Health Purposes,25.799961055
Austria,2007,RH & FP,1.674157050
Austria,2008,HEALTH POLICY & ADMIN. MANAGEMENT,1.612984796
Austria,2008,MDG6,4.757411165
Austria,2008,Other Health Purposes,41.575100104
Austria,2008,RH & FP,0.810310314
Austria,2009,HEALTH POLICY & ADMIN. MANAGEMENT,1.923934947
Austria,2009,MDG6,2.000332023
Austria,2009,Other Health Purposes,28.665714630
Austria,2009,RH & FP,0.983846261
Austria,2010,HEALTH POLICY & ADMIN. MANAGEMENT,1.225211841
Austria,2010,MDG6,1.035567317
Austria,2010,Other Health Purposes,54.331055722
Austria,2010,RH & FP,1.129034610
Belgium,2000,HEALTH POLICY & ADMIN. MANAGEMENT,25.592494002
Belgium,2000,MDG6,29.581633413
Belgium,2000,Other Health Purposes,64.777366531
Belgium,2000,RH & FP,0.127894177
Belgium,2001,HEALTH POLICY & ADMIN. MANAGEMENT,24.202225576
Belgium,2001,MDG6,17.419655745
Belgium,2001,Other Health Purposes,77.450951239
Belgium,2001,RH & FP,2.169426382
Belgium,2002,HEALTH POLICY & ADMIN. MANAGEMENT,14.471329000
Belgium,2002,MDG6,44.283870490
Belgium,2002,Other Health Purposes,149.881730128
Belgium,2002,RH & FP,4.097831194
Belgium,2003,HEALTH POLICY & ADMIN. MANAGEMENT,11.406639369
Belgium,2003,MDG6,31.530695425
Belgium,2003,Other Health Purposes,72.964586471
Belgium,2003,RH & FP,3.896581386
Belgium,2004,HEALTH POLICY & ADMIN. MANAGEMENT,17.988151737
Belgium,2004,MDG6,50.038572548
Belgium,2004,Other Health Purposes,58.201585968
Belgium,2004,RH & FP,1.098627585
Belgium,2005,HEALTH POLICY & ADMIN. MANAGEMENT,30.118853258
Belgium,2005,MDG6,38.961331377
Belgium,2005,Other Health Purposes,75.690916223
Belgium,2005,RH & FP,2.662027714
Belgium,2006,HEALTH POLICY & ADMIN. MANAGEMENT,11.323679172
Belgium,2006,MDG6,38.649070401
Belgium,2006,Other Health Purposes,99.769479373
Belgium,2006,RH & FP,1.580343455
Belgium,2007,HEALTH POLICY & ADMIN. MANAGEMENT,26.631988603
Belgium,2007,MDG6,52.772097580
Belgium,2007,Other Health Purposes,113.939712534
Belgium,2007,RH & FP,1.095367773
Belgium,2008,HEALTH POLICY & ADMIN. MANAGEMENT,59.136699790
Belgium,2008,MDG6,26.114282240
Belgium,2008,Other Health Purposes,106.404359727
Belgium,2008,RH & FP,0.208107435
Belgium,2009,HEALTH POLICY & ADMIN. MANAGEMENT,44.339564852
Belgium,2009,MDG6,50.407778931
Belgium,2009,Other Health Purposes,112.860122922
Belgium,2009,RH & FP,1.824532572
Belgium,2010,HEALTH POLICY & ADMIN. MANAGEMENT,68.273632808
Belgium,2010,MDG6,26.631396162
Belgium,2010,Other Health Purposes,100.380104657
Belgium,2010,RH & FP,0.408695947
Canada,2000,HEALTH POLICY & ADMIN. MANAGEMENT,7.665401771
Canada,2000,MDG6,78.809689585
Canada,2000,Other Health Purposes,32.078508898
Canada,2000,RH & FP,13.939740114
Canada,2001,HEALTH POLICY & ADMIN. MANAGEMENT,38.121185969
