Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
AfDB,Global and Regional,1,0.08,0.00,0.00,0.00,0.08,5.0%
AfDB,Tunisia,2,0.00,0.00,0.86,0.00,0.86,53.4%
AfDB,Gabon,3,0.58,0.00,0.00,0.00,0.58,36.1%
AfDB,Swaziland,4,0.00,0.00,0.09,0.00,0.09,5.4%
AfDF,Global and Regional,1,20.15,0.00,0.00,0.00,20.15,12.5%
AfDF,United Republic of Tanzania,2,16.30,0.00,0.00,0.00,16.30,10.1%
AfDF,Kenya,3,15.06,0.00,0.00,0.00,15.06,9.4%
AfDF,Democratic Republic of the Congo,4,14.13,0.00,0.00,0.00,14.13,8.8%
AfDF,Benin,5,13.18,0.00,0.00,0.00,13.18,8.2%
AfDF,Uganda,6,12.76,0.00,0.00,0.00,12.76,7.9%
AfDF,Burkina Faso,7,12.42,0.00,0.00,0.00,12.42,7.7%
AfDF,Ghana,8,11.00,0.00,0.00,0.00,11.00,6.8%
AfDF,All others,9,45.95,0.00,0.00,0.00,45.95,28.5%
Arab Fund (AFESD),Global and Regional,1,0.00,0.19,0.61,0.00,0.80,23.5%
Arab Fund (AFESD),Jordan,2,0.00,0.00,1.36,0.00,1.36,39.7%
Arab Fund (AFESD),Lebanon,3,0.00,0.00,0.92,0.00,0.92,26.9%
Arab Fund (AFESD),Sudan,4,0.00,0.20,0.00,0.00,0.20,5.9%
Arab Fund (AFESD),Yemen,5,0.00,0.00,0.14,0.00,0.14,4.0%
Arab Fund (AFESD),Egypt,6,0.00,0.00,0.00,0.00,0.00,0.0%
Arab Fund (AFESD),Syrian Arab Republic,7,0.00,0.00,0.00,0.00,0.00,0.0%
Arab Fund (AFESD),West Bank and Gaza Strip,8,0.00,0.00,0.00,0.00,0.00,0.0%
AsDB Special Funds,Global and Regional,1,0.00,6.37,0.00,0.00,6.37,2.1%
AsDB Special Funds,Pakistan,2,0.00,0.00,150.97,0.00,150.97,49.5%
AsDB Special Funds,Viet Nam,3,32.54,9.75,7.65,0.00,49.94,16.4%
AsDB Special Funds,Indonesia,4,22.41,0.00,26.14,0.00,48.55,15.9%
AsDB Special Funds,Lao People's Democratic Republic,5,13.84,-0.03,1.73,0.00,15.54,5.1%
AsDB Special Funds,Bangladesh,6,2.31,0.00,7.49,0.00,9.79,3.2%
AsDB Special Funds,Mongolia,7,3.78,0.00,5.42,0.00,9.20,3.0%
AsDB Special Funds,Papua New Guinea,8,0.00,6.32,0.00,0.00,6.32,2.1%
AsDB Special Funds,All others,9,2.75,0.72,4.65,0.00,8.12,2.7%
Australia,Global and Regional,1,43.77,61.29,23.46,26.70,155.22,21.2%
Australia,Papua New Guinea,2,63.86,55.89,40.00,8.50,168.25,23.0%
Australia,Indonesia,3,11.99,24.73,4.25,24.43,65.41,8.9%
Australia,Cambodia,4,30.87,3.12,4.08,0.00,38.07,5.2%
Australia,Pakistan,5,6.67,0.25,19.12,5.82,31.84,4.3%
Australia,Solomon Islands,6,20.49,6.66,4.65,0.00,31.80,4.3%
Australia,Bangladesh,7,0.11,0.31,18.63,12.45,31.51,4.3%
Australia,Viet Nam,8,11.59,6.62,8.32,0.25,26.78,3.7%
Australia,All others,9,54.82,33.70,66.53,28.22,183.27,25.0%
Austria,Global and Regional,1,0.00,0.68,0.35,0.57,1.61,6.7%
Austria,Nicaragua,2,2.94,0.73,0.79,0.17,4.63,19.4%
Austria,West Bank and Gaza Strip,3,0.00,0.00,2.77,0.24,3.01,12.6%
Austria,Bosnia and Herzegovina,4,0.00,0.00,2.74,0.00,2.75,11.5%
Austria,Ethiopia,5,0.02,0.00,1.61,0.25,1.88,7.9%
Austria,Viet Nam,6,0.00,0.03,1.33,0.00,1.36,5.7%
Austria,Lao People's Democratic Republic,7,0.00,0.00,1.04,0.00,1.04,4.3%
Austria,Albania,8,0.03,0.00,0.99,0.00,1.02,4.3%
Austria,All others,9,0.23,0.60,5.02,0.73,6.57,27.5%
BADEA,Global and Regional,1,0.00,0.00,0.26,0.00,0.26,4.8%
BADEA,Senegal,2,0.00,0.00,1.87,0.00,1.87,33.9%
BADEA,Benin,3,1.00,0.00,0.00,0.00,1.00,18.2%
BADEA,United Republic of Tanzania,4,0.00,0.00,0.90,0.00,0.90,16.4%
BADEA,Mozambique,5,0.00,0.00,0.77,0.00,0.77,14.0%
BADEA,Congo,6,0.00,0.00,0.70,0.00,0.70,12.7%
BADEA,Ghana,7,0.00,0.00,0.00,0.00,0.00,0.0%
BADEA,Kenya,8,0.00,0.00,0.00,0.00,0.00,0.0%
BADEA,All others,9,0.00,0.00,0.00,0.00,0.00,0.0%
Belgium,Global and Regional,1,1.41,9.12,44.66,3.13,58.32,18.2%
Belgium,Democratic Republic of the Congo,2,12.09,14.30,32.51,0.36,59.27,18.5%
Belgium,Rwanda,3,28.74,0.42,10.11,0.00,39.28,12.3%
Belgium,Burundi,4,3.02,1.43,15.07,0.03,19.56,6.1%
Belgium,Bolivia (Plurinational State of),5,4.53,0.38,13.99,0.00,18.91,5.9%
Belgium,Mozambique,6,3.75,5.38,7.26,1.13,17.52,5.5%
Belgium,Uganda,7,8.92,0.76,1.01,0.00,10.69,3.3%
Belgium,Benin,8,2.88,0.00,7.18,0.00,10.06,3.1%
Belgium,All others,9,12.27,26.18,46.57,1.70,86.73,27.1%
Canada,Global and Regional,1,26.80,241.48,206.89,4.43,479.60,44.7%
Canada,Mozambique,2,5.08,29.07,39.58,0.09,73.81,6.9%
Canada,Mali,3,0.70,6.92,63.02,2.28,72.92,6.8%
Canada,Haiti,4,12.66,3.43,39.78,5.87,61.74,5.8%
Canada,Afghanistan,5,15.95,34.69,3.39,0.10,54.14,5.1%
Canada,Ethiopia,6,0.12,4.31,47.54,0.11,52.09,4.9%
Canada,United Republic of Tanzania,7,1.74,2.71,44.90,1.45,50.81,4.7%
Canada,Nigeria,8,9.73,0.97,16.94,2.36,30.01,2.8%
Canada,All others,9,22.95,55.69,106.16,11.92,196.72,18.4%
Czech Republic,Global and Regional,1,0.00,0.00,0.02,0.00,0.02,0.8%
Czech Republic,Libya,2,0.00,0.00,0.47,0.00,0.47,15.9%
Czech Republic,Serbia,3,0.01,0.00,0.36,0.00,0.37,12.5%
Czech Republic,Zambia,4,0.01,0.00,0.00,0.31,0.33,11.1%
Czech Republic,Georgia,5,0.04,0.00,0.27,0.00,0.31,10.4%
