Donor,Year,incomegroupname,"Disbursements, Million, constant 2010 US$"
AfDB,2011,LMICs,0.09
AfDB,2011,Part I unallocated by income,0.08
AfDB,2011,UMICs,1.44
AfDF,2001,LDCs,24.99
AfDF,2001,LMICs,21.52
AfDF,2001,Other LICs,1.46
AfDF,2002,LDCs,38.46
AfDF,2002,LMICs,42.36
AfDF,2002,Other LICs,1.99
AfDF,2002,Part I unallocated by income,3.80
AfDF,2003,LDCs,36.87
AfDF,2003,LMICs,2.56
AfDF,2003,Other LICs,0.70
AfDF,2003,Part I unallocated by income,1.52
AfDF,2004,LDCs,70.51
AfDF,2004,LMICs,11.22
AfDF,2004,Other LICs,0.18
AfDF,2004,Part I unallocated by income,0.88
AfDF,2005,LDCs,56.63
AfDF,2005,LMICs,7.46
AfDF,2005,Other LICs,0.61
AfDF,2005,Part I unallocated by income,2.21
AfDF,2006,LDCs,70.96
AfDF,2006,LMICs,6.05
AfDF,2006,Other LICs,4.33
AfDF,2006,Part I unallocated by income,5.73
AfDF,2007,LDCs,43.81
AfDF,2007,LMICs,31.44
AfDF,2007,Other LICs,3.23
AfDF,2007,Part I unallocated by income,3.67
AfDF,2008,LDCs,72.60
AfDF,2008,LMICs,19.31
AfDF,2008,Other LICs,10.09
AfDF,2008,Part I unallocated by income,7.60
AfDF,2009,LDCs,72.01
AfDF,2009,LMICs,17.91
AfDF,2009,Other LICs,1.16
AfDF,2009,Part I unallocated by income,14.21
AfDF,2010,LDCs,45.88
AfDF,2010,LMICs,16.77
AfDF,2010,Other LICs,3.53
AfDF,2010,Part I unallocated by income,10.72
AfDF,2010,UMICs,0.00
AfDF,2011,LDCs,56.96
AfDF,2011,LMICs,6.14
AfDF,2011,Other LICs,11.53
AfDF,2011,Part I unallocated by income,9.43
AfDF,2011,UMICs,0.00
Arab Fund (AFESD),2008,LDCs,0.92
Arab Fund (AFESD),2008,LMICs,0.91
Arab Fund (AFESD),2008,Part I unallocated by income,0.89
Arab Fund (AFESD),2008,UMICs,1.74
Arab Fund (AFESD),2009,LDCs,0.76
Arab Fund (AFESD),2009,LMICs,0.09
Arab Fund (AFESD),2009,Part I unallocated by income,0.68
Arab Fund (AFESD),2009,UMICs,0.14
