Donor,Year,WHO Region,"Disbursements, Million, constant 2010 US$"
AfDB,2011,Afr, 0.67 
AfDB,2011,Emr, 0.86 
AfDB,2011,MULTI, 0.08 
AfDF,2001,Afr, 43.85 
AfDF,2001,Emr, 4.12 
AfDF,2002,Afr, 79.21 
AfDF,2002,Emr, 3.60 
AfDF,2002,MULTI, 3.80 
AfDF,2003,Afr, 39.71 
AfDF,2003,Emr, 0.42 
AfDF,2003,MULTI, 1.52 
AfDF,2004,Afr, 71.63 
AfDF,2004,Emr, 10.28 
AfDF,2004,MULTI, 0.88 
AfDF,2005,Afr, 64.65 
AfDF,2005,Emr, 0.05 
AfDF,2005,MULTI, 2.21 
AfDF,2006,Afr, 81.30 
AfDF,2006,Emr, 0.04 
AfDF,2006,MULTI, 5.73 
AfDF,2007,Afr, 78.15 
AfDF,2007,Emr, 0.34 
AfDF,2007,MULTI, 3.67 
AfDF,2008,Afr, 87.59 
AfDF,2008,Emr, 14.40 
AfDF,2008,MULTI, 7.60 
AfDF,2009,Afr, 89.84 
AfDF,2009,Emr, 1.23 
AfDF,2009,MULTI, 14.21 
AfDF,2010,Afr, 65.26 
AfDF,2010,Emr, 0.93 
AfDF,2010,MULTI, 10.72 
AfDF,2011,Afr, 73.49 
AfDF,2011,Emr, 1.13 
AfDF,2011,MULTI, 9.43 
Arab Fund (AFESD),2008,Afr, 0.66 
Arab Fund (AFESD),2008,Emr, 2.91 
Arab Fund (AFESD),2008,MULTI, 0.89 
Arab Fund (AFESD),2009,Afr, 0.42 
Arab Fund (AFESD),2009,Emr, 0.48 
Arab Fund (AFESD),2009,MULTI, 0.68 
Arab Fund (AFESD),2009,Not UN, 0.09 
Arab Fund (AFESD),2010,Emr, 1.12 
Arab Fund (AFESD),2010,MULTI, 0.19 
Arab Fund (AFESD),2010,Not UN, -   
Arab Fund (AFESD),2011,Emr, 1.51 
Arab Fund (AFESD),2011,MULTI, 0.61 
AsDB Special Funds,2001,Sear, -   
