Donor,ISO3,Recipient,Economic Development,WHO Region,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2010 constant US$ (2010-2011)"
AfDB,TUN,Tunisia,UMICs,Emr, -   , -   , 0.86 , -   , 0.86 
AfDB,GAB,Gabon,UMICs,Afr, 0.58 , -   , -   , -   , 0.58 
AfDB,SWZ,Swaziland,LMICs,Afr, -   , -   , 0.09 , -   , 0.09 
AfDB,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 0.08 , -   , -   , -   , 0.08 
AfDF,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 20.15 , -   , -   , -   , 20.15 
AfDF,TZA,United Republic of Tanzania,LDCs,Afr, 16.30 , -   , -   , -   , 16.30 
AfDF,KEN,Kenya,Other LICs,Afr, 15.06 , -   , -   , -   , 15.06 
AfDF,COD,Democratic Republic of the Congo,LDCs,Afr, 14.13 , -   , -   , -   , 14.13 
AfDF,BEN,Benin,LDCs,Afr, 13.18 , -   , -   , -   , 13.18 
AfDF,UGA,Uganda,LDCs,Afr, 12.76 , -   , -   , -   , 12.76 
AfDF,BFA,Burkina Faso,LDCs,Afr, 12.42 , -   , -   , -   , 12.42 
AfDF,GHA,Ghana,LMICs,Afr, 11.00 , -   , -   , -   , 11.00 
AfDF,MWI,Malawi,LDCs,Afr, 7.78 , -   , -   , -   , 7.78 
AfDF,MLI,Mali,LDCs,Afr, 7.21 , -   , -   , -   , 7.21 
AfDF,NGA,Nigeria,LMICs,Afr, 6.61 , -   , -   , -   , 6.61 
AfDF,CMR,Cameroon,LMICs,Afr, 5.29 , -   , -   , -   , 5.29 
AfDF,SEN,Senegal,LDCs,Afr, 4.64 , -   , -   , -   , 4.64 
AfDF,TCD,Chad,LDCs,Afr, 3.63 , -   , -   , -   , 3.63 
AfDF,SLE,Sierra Leone,LDCs,Afr, 3.21 , -   , -   , -   , 3.21 
AfDF,GNB,Guinea-Bissau,LDCs,Afr, 2.50 , -   , -   , -   , 2.50 
AfDF,DJI,Djibouti,LDCs,Emr, 2.06 , -   , -   , -   , 2.06 
AfDF,NER,Niger,LDCs,Afr, 1.92 , -   , -   , -   , 1.92 
AfDF,MOZ,Mozambique,LDCs,Afr, 0.56 , -   , -   , -   , 0.56 
AfDF,MDG,Madagascar,LDCs,Afr, 0.42 , -   , -   , -   , 0.42 
AfDF,AGO,Angola,LDCs,Afr, 0.11 , -   , -   , -   , 0.11 
AfDF,MAR,Morocco,LMICs,Emr, -   , -   , -   , -   , -   
AfDF,BWA,Botswana,UMICs,Afr, -   , -   , -   , -   , -   
AfDF,CIV,Côte d'Ivoire,LMICs,Afr, -   , -   , -   , -   , -   
AfDF,EGY,Egypt,LMICs,Emr, -   , -   , -   , -   , -   
AfDF,ETH,Ethiopia,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,GIN,Guinea,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,GMB,Gambia,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,GNQ,Equatorial Guinea,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,LSO,Lesotho,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,MRT,Mauritania,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,RWA,Rwanda,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,TGO,Togo,LDCs,Afr, -   , -   , -   , -   , -   
AfDF,ZMB,Zambia,LDCs,Afr, -   , -   , -   , -   , -   
Arab Fund (AFESD),JOR,Jordan,UMICs,Emr, -   , -   , 1.36 , -   , 1.36 
Arab Fund (AFESD),LBN,Lebanon,UMICs,Emr, -   , -   , 0.92 , -   , 0.92 
Arab Fund (AFESD),Global and Regional,Global and Regional,Global and Regional,Global and Regional, -   , 0.19 , 0.61 , -   , 0.80 
Arab Fund (AFESD),SDN,Sudan,LDCs,Emr, -   , 0.20 , -   , -   , 0.20 
Arab Fund (AFESD),YEM,Yemen,LDCs,Emr, -   , -   , 0.14 , -   , 0.14 
Arab Fund (AFESD),EGY,Egypt,LMICs,Emr, -   , -   , -   , -   , -   
